"","alpha_code","taxonomy","common_name","scientific_name","exposure_model","iucn_status","prop0561","prop0562","prop0563","prop0564","prop0565","prop0566","prop0567","propOR","propCA","propALL","CV","DV"
"1","RNPH","Scolopacidae (Sandpipers & Allies)","Red-necked Phalarope","Phalaropus lobatus","PHAL","LC",0.000229019328040195,0.000245394234877494,0.000351046095154233,0.000355675370311251,0.000394324801201434,0.000201475073571587,0.000469947139477119,0.000671422213048706,0.00157545982958461,0.00224688204263331,0.15311,0.195
"2","REPH","Scolopacidae (Sandpipers & Allies)","Red Phalarope","Phalaropus fulicarius","PHAL","LC",0.000229019328040195,0.000245394234877494,0.000351046095154233,0.000355675370311251,0.000394324801201434,0.000201475073571587,0.000469947139477119,0.000671422213048706,0.00157545982958461,0.00224688204263331,0.15886,0.195
"3","SOSH","Procellariidae (Petrels, Shearwaters)","Sooty Shearwater","Ardenna grisea","STTS-SOSH-FFSH","NT",0.000763802544369013,0.000624576904014157,0.000527788306804887,0.000679845575130973,0.000977095997906031,0.000321425136352744,0.000698826924623074,0.00102025206097582,0.00357310932822506,0.00459336138920088,2e-05,0.209
"4","CAAU","Alcidae (Auks)","Cassin's Auklet","Ptychoramphus aleuticus","CAAU","NT",0.000807150332359643,0.000834070844183345,0.000887648427843265,0.000844348914120616,0.000733537883797218,0.000638343288327986,0.00156989989591679,0.00220824318424478,0.00410675640230409,0.00631499958654887,0.00082,0.518
"5","NOFU","Procellariidae (Petrels, Shearwaters)","Northern Fulmar","Fulmarus glacialis","NOFU","LC",0.000993142603539478,0.00106205874804724,0.000494564708867452,0.000512498721181563,0.000520433025860859,0.00155244841098018,0.00152590778709423,0.00307835619807441,0.00358269780749659,0.006661054005571,0.00059,0.137
"6","COMU","Alcidae (Auks)","Common Murre","Uria aalge","COMU","LC",0.000325053363697391,0.00020573843949722,1.29513098875101e-05,1.38715194528584e-05,1.75581672160392e-05,3.80848276377103e-05,0.000185077111018162,0.000223161938655872,0.000575172799751019,0.000798334738406891,0.00012,0.326
"7","CAGU","Laridae (Gulls, Terns, Skimmers)","California Gull","Larus californicus","CAGU","LC",0.000471095057200714,0.000440477724070686,0.000469792885429245,0.000490410768210339,0.000653094909976136,0.000251963682111034,0.000585577447378916,0.00083754112948995,0.00252487134488712,0.00336241247437707,0.04989,0.129
"8","WEGU","Laridae (Gulls, Terns, Skimmers)","Western Gull","Larus occidentalis","WEGU-WGWH-GWGU","LC",0.000359020563435897,0.000298315274755814,0.000174019797890834,0.000205195471524289,0.00028029124699789,0.000127052410112801,0.000384759554965087,0.000511811965077888,0.00131684235460472,0.00182865431968261,0.02582,0.077
"9","GWGU","Laridae (Gulls, Terns, Skimmers)","Glaucous-winged Gull","Larus glaucescens","WEGU-WGWH-GWGU","LC",0.000359020563435897,0.000298315274755814,0.000174019797890834,0.000205195471524289,0.00028029124699789,0.000127052410112801,0.000384759554965087,0.000511811965077888,0.00131684235460472,0.00182865431968261,0.06577,0.127
"10","BFAL","Diomedeidae (Albatrosses)","Black-footed Albatross","Phoebastria nigripes","BFAL","NT",0.00114153074819944,0.000963048461830488,0.000131674299501859,0.000127658069752422,0.000127597820584992,0.000794654336370257,0.00129427672461625,0.0020889310609865,0.0024915093998692,0.00458044046085571,0.01043,0.131
"11","RHAU","Alcidae (Auks)","Rhinoceros Auklet","Cerorhinca monocerata","RHAU","LC",0.000751468501290794,0.000863463423206688,0.000481396775182736,0.000521406240312596,0.000643395578259895,0.000490551834008309,0.000901856663104033,0.00139240849711234,0.00326113051825271,0.00465353901536505,2e-05,0.408
"12","PFSH","Procellariidae (Petrels, Shearwaters)","Pink-footed Shearwater","Ardenna creatopus","PFSH","VU",0.000789261500503753,0.000857049092717128,0.0009241060406381,0.00138698612532198,0.00197848833219935,0.000897607080174353,0.00145440615526511,0.00235201323543947,0.00593589109138031,0.00828790432681978,6e-05,0.204
