alpha_code,taxonomy,common_name,scientific_name,exposure_model,iucn_status,prop0561,prop0562,prop0563,prop0564,prop0565,prop0566,prop0567,propOR,propCA,propALL,CV,DV
RNPH,Scolopacidae (Sandpipers & Allies),Red-necked Phalarope,Phalaropus lobatus,PHAL,LC,2.2901932804019455e-4,2.453942348774937e-4,3.5104609515423317e-4,3.5567537031125075e-4,3.9432480120143434e-4,2.01475073571587e-4,4.6994713947711943e-4,6.714222130487065e-4,0.0015754598295846,0.00224688204263331,0.15311,0.195
REPH,Scolopacidae (Sandpipers & Allies),Red Phalarope,Phalaropus fulicarius,PHAL,LC,2.2901932804019455e-4,2.453942348774937e-4,3.5104609515423317e-4,3.5567537031125075e-4,3.9432480120143434e-4,2.01475073571587e-4,4.6994713947711943e-4,6.714222130487065e-4,0.0015754598295846,0.00224688204263331,0.15886,0.195
SOSH,"Procellariidae (Petrels, Shearwaters)",Sooty Shearwater,Ardenna grisea,STTS-SOSH-FFSH,NT,7.638025443690131e-4,6.24576904014157e-4,5.277883068048872e-4,6.798455751309728e-4,9.770959979060311e-4,3.2142513635274357e-4,6.988269246230743e-4,0.00102025206097581,0.00357310932822506,0.00459336138920087,2e-5,0.209
CAAU,Alcidae (Auks),Cassin's Auklet,Ptychoramphus aleuticus,CAAU,NT,8.071503323596427e-4,8.340708441833454e-4,8.876484278432647e-4,8.443489141206161e-4,7.335378837972183e-4,6.383432883279865e-4,0.00156989989591679,0.00220824318424477,0.00410675640230408,0.00631499958654886,8.2e-4,0.518
NOFU,"Procellariidae (Petrels, Shearwaters)",Northern Fulmar,Fulmarus glacialis,NOFU,LC,9.931426035394782e-4,0.00106205874804724,4.945647088674517e-4,5.124987211815625e-4,5.204330258608588e-4,0.00155244841098018,0.00152590778709422,0.00307835619807441,0.00358269780749659,0.006661054005571,5.9e-4,0.137
COMU,Alcidae (Auks),Common Murre,Uria aalge,COMU,LC,3.250533636973915e-4,2.057384394972202e-4,1.2951309887510128e-5,1.387151945285839e-5,1.755816721603917e-5,3.808482763771031e-5,1.850771110181619e-4,2.231619386558722e-4,5.751727997510193e-4,7.983347384068914e-4,1.2e-4,0.326
CAGU,"Laridae (Gulls, Terns, Skimmers)",California Gull,Larus californicus,CAGU,LC,4.710950572007141e-4,4.404777240706863e-4,4.69792885429245e-4,4.90410768210339e-4,6.530949099761357e-4,2.5196368211103444e-4,5.855774473789157e-4,8.375411294899503e-4,0.00252487134488712,0.00336241247437707,0.04989,0.129
WEGU,"Laridae (Gulls, Terns, Skimmers)",Western Gull,Larus occidentalis,WEGU-WGWH-GWGU,LC,3.5902056343589656e-4,2.9831527475581376e-4,1.740197978908335e-4,2.0519547152428875e-4,2.802912469978903e-4,1.270524101128006e-4,3.847595549650874e-4,5.11811965077888e-4,0.00131684235460472,0.00182865431968261,0.02582,0.077
GWGU,"Laridae (Gulls, Terns, Skimmers)",Glaucous-winged Gull,Larus glaucescens,WEGU-WGWH-GWGU,LC,3.5902056343589656e-4,2.9831527475581376e-4,1.740197978908335e-4,2.0519547152428875e-4,2.802912469978903e-4,1.270524101128006e-4,3.847595549650874e-4,5.11811965077888e-4,0.00131684235460472,0.00182865431968261,0.06577,0.127
BFAL,Diomedeidae (Albatrosses),Black-footed Albatross,Phoebastria nigripes,BFAL,NT,0.00114153074819944,9.630484618304884e-4,1.316742995018586e-4,1.276580697524216e-4,1.2759782058499204e-4,7.946543363702568e-4,0.00129427672461624,0.0020889310609865,0.0024915093998692,0.0045804404608557,0.01043,0.131
RHAU,Alcidae (Auks),Rhinoceros Auklet,Cerorhinca monocerata,RHAU,LC,7.51468501290794e-4,8.634634232066881e-4,4.813967751827356e-4,5.21406240312596e-4,6.433955782598952e-4,4.905518340083091e-4,9.018566631040332e-4,0.00139240849711234,0.0032611305182527,0.00465353901536505,2e-5,0.408
PFSH,"Procellariidae (Petrels, Shearwaters)",Pink-footed Shearwater,Ardenna creatopus,PFSH,VU,7.892615005037532e-4,8.570490927171276e-4,9.241060406380996e-4,0.00138698612532198,0.00197848833219935,8.976070801743528e-4,0.00145440615526511,0.00235201323543946,0.00593589109138031,0.00828790432681978,6e-5,0.204
LESP,Hydrobatidae (Northern Storm-petrels),Leach's Storm-Petrel,Hydrobates leucorhous,LESP,VU,9.924660747866258e-5,1.009805082465806e-4,2.447525997759972e-5,1.8040868997409428e-5,1.1955323281790826e-5,3.856789099897331e-5,3.0917152157949017e-4,3.477394125784635e-4,2.5469856798204316e-4,6.024379805605066e-4,0.00756,0.228
BLKI,"Laridae (Gulls, Terns, Skimmers)",Black-legged Kittiwake,Rissa tridactyla,BLKI,VU,3.768209018784566e-4,5.404806659985398e-4,1.3887867647805691e-4,1.3031715044726193e-4,1.1006400213606188e-4,2.787303906502872e-4,7.120082120456026e-4,9.907386026958898e-4,0.00129656139693837,0.00228729999963426,0.02823,0.093
FTSP,Hydrobatidae (Northern Storm-petrels),Fork-tailed Storm-Petrel,Hydrobates furcatus,FTSP,LC,2.2745388558199895e-4,2.618660930723456e-4,1.3385520267691431e-5,1.2639682114133244e-5,1.2272023330102583e-5,6.583549702444045e-4,3.1978156451152335e-4,9.781365347559278e-4,5.276172043662718e-4,0.00150575373912219,0.00615,0.227
HERG,"Laridae (Gulls, Terns, Skimmers)",Herring Gull,Larus argentatuss,HERG-ICGU,LC,8.317471191770178e-4,6.480229566038659e-4,1.4244016194335987e-4,1.435476231429351e-4,1.598837843797635e-4,2.9437180007125516e-4,7.299732643819719e-4,0.00102434506445322,0.00192564164524694,0.00294998670970016,0.03688,0.055
ICGU,"Laridae (Gulls, Terns, Skimmers)",Iceland Gull,Larus glaucoides,HERG-ICGU,LC,8.317471191770178e-4,6.480229566038659e-4,1.4244016194335987e-4,1.435476231429351e-4,1.598837843797635e-4,2.9437180007125516e-4,7.299732643819719e-4,0.00102434506445322,0.00192564164524694,0.00294998670970016,0.04989,0.055
SAGU,"Laridae (Gulls, Terns, Skimmers)",Sabine's Gull,Xema sabini,SAGU,LC,6.769986915033537e-4,7.624962457428266e-4,7.379942363788548e-4,7.639008252770789e-4,6.824445589918765e-4,0.0010714653352847,0.00147186170265093,0.00254332703793563,0.00362383455789399,0.00616716159582962,0.01333,0.155
PALO,Gaviidae (Loons),Pacific Loon,Gavia pacifica,LOON,LC,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938464e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.00143001110873061,0.00231,0.532
YBLO,Gaviidae (Loons),Yellow-billed Loon,Gavia adamsii,LOON,NT,1.693546157255228e-4,1.7189989340647645e-4,1.9312890339938464e-4,1.9854776979323543e-4,2.204792918361093e-4,1.5232748129680634e-4,3.2427315327308143e-4,4.766006345698878e-4,9.534104741607286e-4,0.00143001110873061,0.00203,0.464
POJA,Stercorariidae (Skuas),Pomarine Jaeger,Stercorarius pomarinus,POJA,LC,8.758134620117935e-4,0.00113160468999369,9.954231107092793e-4,9.494455160960772e-4,9.4175706298764e-4,4.523918246347215e-4,0.00164283758651258,0.0020952294111473,0.00489404384179848,0.00698927325294579,0.01383,0.02
