alpha_code,taxonomy,common_name,scientific_name,exposure_model,iucn_status,prop0561,prop0562,prop0563,prop0564,prop0565,prop0566,prop0567,propOR,propCA,propALL,CV,DV
RNPH,Scolopacidae (Sandpipers & Allies),Red-necked Phalarope,Phalaropus lobatus,PHAL,LC,2.2901932804019455e-4,2.453942348774937e-4,3.5104609515423317e-4,3.5567537031125075e-4,3.9432480120143434e-4,2.01475073571587e-4,4.6994713947711943e-4,6.714222130487065e-4,0.0015754598295846065,0.002246882042633313,0.15311,0.195
REPH,Scolopacidae (Sandpipers & Allies),Red Phalarope,Phalaropus fulicarius,PHAL,LC,2.2901932804019455e-4,2.453942348774937e-4,3.5104609515423317e-4,3.5567537031125075e-4,3.9432480120143434e-4,2.01475073571587e-4,4.6994713947711943e-4,6.714222130487065e-4,0.0015754598295846065,0.002246882042633313,0.15886,0.195
SOSH,"Procellariidae (Petrels, Shearwaters)",Sooty Shearwater,Ardenna grisea,STTS-SOSH-FFSH,NT,7.638025443690131e-4,6.24576904014157e-4,5.277883068048872e-4,6.798455751309728e-4,9.770959979060311e-4,3.2142513635274357e-4,6.988269246230743e-4,0.0010202520609758178,0.0035731093282250614,0.004593361389200879,2e-5,0.209
CAAU,Alcidae (Auks),Cassin's Auklet,Ptychoramphus aleuticus,CAAU,NT,8.071503323596427e-4,8.340708441833454e-4,8.876484278432647e-4,8.443489141206161e-4,7.335378837972183e-4,6.383432883279865e-4,0.0015698998959167922,0.0022082431842447786,0.004106756402304087,0.006314999586548866,8.2e-4,0.518
NOFU,"Procellariidae (Petrels, Shearwaters)",Northern Fulmar,Fulmarus glacialis,NOFU,LC,9.931426035394782e-4,0.0010620587480472412,4.945647088674517e-4,5.124987211815625e-4,5.204330258608588e-4,0.0015524484109801806,0.0015259077870942298,0.0030783561980744106,0.0035826978074965927,0.006661054005571003,5.9e-4,0.137
COMU,Alcidae (Auks),Common Murre,Uria aalge,COMU,LC,3.250533636973915e-4,2.057384394972202e-4,1.2951309887510128e-5,1.387151945285839e-5,1.755816721603917e-5,3.808482763771031e-5,1.850771110181619e-4,2.231619386558722e-4,5.751727997510193e-4,7.983347384068914e-4,1.2e-4,0.326
CAGU,"Laridae (Gulls, Terns, Skimmers)",California Gull,Larus californicus,CAGU,LC,4.7109505720071404e-4,4.404777240706863e-4,4.69792885429245e-4,4.90410768210339e-4,6.530949099761357e-4,2.5196368211103444e-4,5.855774473789157e-4,8.375411294899503e-4,0.0025248713448871203,0.00336241247437707,0.04989,0.129
WEGU,"Laridae (Gulls, Terns, Skimmers)",Western Gull,Larus occidentalis,WEGU-WGWH-GWGU,LC,3.5902056343589656e-4,2.9831527475581376e-4,1.740197978908335e-4,2.0519547152428877e-4,2.802912469978903e-4,1.270524101128006e-4,3.847595549650874e-4,5.11811965077888e-4,0.001316842354604723,0.001828654319682611,0.02582,0.077
GWGU,"Laridae (Gulls, Terns, Skimmers)",Glaucous-winged Gull,Larus glaucescens,WEGU-WGWH-GWGU,LC,3.5902056343589656e-4,2.9831527475581376e-4,1.740197978908335e-4,2.0519547152428877e-4,2.802912469978903e-4,1.270524101128006e-4,3.847595549650874e-4,5.11811965077888e-4,0.001316842354604723,0.001828654319682611,0.06577,0.127
BFAL,Diomedeidae (Albatrosses),Black-footed Albatross,Phoebastria nigripes,BFAL,NT,0.0011415307481994436,9.630484618304883e-4,1.316742995018586e-4,1.276580697524216e-4,1.2759782058499204e-4,7.946543363702568e-4,0.0012942767246162466,0.0020889310609865036,0.0024915093998692044,0.004580440460855708,0.01043,0.131
RHAU,Alcidae (Auks),Rhinoceros Auklet,Cerorhinca monocerata,RHAU,LC,7.51468501290794e-4,8.634634232066881e-4,4.813967751827356e-4,5.21406240312596e-4,6.433955782598952e-4,4.905518340083091e-4,9.018566631040333e-4,0.0013924084971123423,0.0032611305182527086,0.004653539015365051,2e-5,0.408
PFSH,"Procellariidae (Petrels, Shearwaters)",Pink-footed Shearwater,Ardenna creatopus,PFSH,VU,7.892615005037532e-4,8.570490927171276e-4,9.241060406380996e-4,0.0013869861253219804,0.001978488332199352,8.976070801743528e-4,0.0014544061552651136,0.0023520132354394666,0.0059358910913803135,0.00828790432681978,6e-5,0.204
LESP,Hydrobatidae (Northern Storm-petrels),Leach's Storm-Petrel,Hydrobates leucorhous,LESP,VU,9.924660747866258e-5,1.009805082465806e-4,2.4475259977599722e-5,1.8040868997409428e-5,1.1955323281790826e-5,3.856789099897331e-5,3.0917152157949017e-4,3.477394125784635e-4,2.5469856798204316e-4,6.024379805605066e-4,0.00756,0.228
BLKI,"Laridae (Gulls, Terns, Skimmers)",Black-legged Kittiwake,Rissa tridactyla,BLKI,VU,3.768209018784566e-4,5.404806659985398e-4,1.3887867647805691e-4,1.3031715044726193e-4,1.1006400213606188e-4,2.787303906502872e-4,7.120082120456026e-4,9.907386026958898e-4,0.0012965613969383772,0.0022872999996342673,0.02823,0.093
FTSP,Hydrobatidae (Northern Storm-petrels),Fork-tailed Storm-Petrel,Hydrobates furcatus,FTSP,LC,2.2745388558199897e-4,2.618660930723456e-4,1.3385520267691431e-5,1.2639682114133245e-5,1.2272023330102585e-5,6.583549702444045e-4,3.1978156451152335e-4,9.781365347559278e-4,5.276172043662718e-4,0.0015057537391221997,0.00615,0.227
