"","alpha_code","taxonomy","common_name","scientific_name","pct_in_CCS_Lower","pct_in_CCS_Upper","CCSpop_Score","CACurrent_breeding","regional","why?","exposure_model","iucn_status","iucn_trend","ESA","CA_status","OR_status","WA_status","NOM_059_ECOL_2001","COSEWIC","propOR","propCA","propALL","CV","DV","rescaled_propALL","rescaled_propCA","rescaled_propOR","rescaled_DV","rescaled_CV","highest_sens"
"1","RNPH","Scolopacidae (Sandpipers & Allies)","Red-necked Phalarope","Phalaropus lobatus",68.52,68.52,4,FALSE,"Y",">1% gobal population uses CCS","PHAL","LC","decreasing",NA,NA,NA,NA,NA,NA,0.000671422213048706,0.00157545982958461,0.00224688204263331,0.15311,0.195,0.258430092376933,0.253779761853949,0.166354112666851,0.230263157894737,0.892861308760061,"CV"
"2","REPH","Scolopacidae (Sandpipers & Allies)","Red Phalarope","Phalaropus fulicarius",59.68,80.65,4,FALSE,"Y",">1% gobal population uses CCS","PHAL","LC","unknown",NA,NA,NA,NA,NA,NA,0.000671422213048706,0.00157545982958461,0.00224688204263331,0.15886,0.195,0.258430092376933,0.253779761853949,0.166354112666851,0.230263157894737,0.926396827248338,"CV"
"3","WIPH","Scolopacidae (Sandpipers & Allies)","Wilson's Phalarope","Phalaropus tricolor",NA,NA,NA,FALSE,"N","inshore (only on the list as an artifact of the way the phalarope SDM was made)","PHAL","LC","increasing",NA,NA,NA,NA,NA,NA,0.000671422213048706,0.00157545982958461,0.00224688204263331,NA,NA,0.258430092376933,0.253779761853949,0.166354112666851,NA,NA,"tie"
"4","SOSH","Procellariidae (Petrels, Shearwaters)","Sooty Shearwater","Ardenna grisea",24.5,35,3,FALSE,"Y",">1% gobal population uses CCS","STTS-SOSH-FFSH","NT","decreasing",NA,NA,NA,NA,NA,NA,0.00102025206097582,0.00357310932822506,0.00459336138920088,2e-05,0.209,0.546473802599379,0.595646516564337,0.259601802422891,0.248684210526316,0,"DV"
"5","STTS","Procellariidae (Petrels, Shearwaters)","Short-tailed Shearwater","Ardenna tenuirostris",0.04,0.13,1,FALSE,"N","think we should leave this one off – data on local distribution is poor and outdated but no local breeding and no known important migratory route through CCS, just low % of population use in nonbreeding season","STTS-SOSH-FFSH","LC","decreasing",NA,NA,NA,NA,NA,NA,0.00102025206097582,0.00357310932822506,0.00459336138920088,3e-05,0.209,0.546473802599379,0.595646516564337,0.259601802422891,0.248684210526316,5.83226408491776e-05,"DV"
"6","FFSH","Procellariidae (Petrels, Shearwaters)","Flesh-footed Shearwater","Ardenna carneipes",NA,NA,1,FALSE,"N","think we should leave this one off – data on local distribution is poor and outdated but no local breeding and no known important migratory route through CCS, just low % of population use in nonbreeding season","STTS-SOSH-FFSH","NT","decreasing",NA,NA,NA,NA,NA,NA,0.00102025206097582,0.00357310932822506,0.00459336138920088,4e-05,0.241,0.546473802599379,0.595646516564337,0.259601802422891,0.290789473684211,0.000116645281698355,"DV"
"7","CAAU","Alcidae (Auks)","Cassin's Auklet","Ptychoramphus aleuticus",3.78,0,2,TRUE,"Y",">1% gobal population uses CCS","CAAU","NT","decreasing",NA,NA,NA,NA,"A (threatened)",NA,0.00220824318424478,0.00410675640230409,0.00631499958654887,0.00082,0.518,0.757814701359136,0.686971943522495,0.577170463343962,0.655263157894737,0.00466581126793421,"DV"
"8","NOFU","Procellariidae (Petrels, Shearwaters)","Northern Fulmar","Fulmarus glacialis",3.27,20,2,FALSE,"Y",">1% gobal population uses CCS","NOFU","LC","increasing",NA,NA,NA,NA,NA,NA,0.00307835619807441,0.00358269780749659,0.006661054005571,0.00059,0.137,0.800294853140493,0.597287436201839,0.809765319685589,0.153947368421053,0.00332439052840313,"DV"
"9","COMU","Alcidae (Auks)","Common Murre","Uria aalge",5.44,6.08,2,TRUE,"Y",">1% gobal population uses CCS","COMU","LC","increasing",NA,NA,NA,NA,NA,NA,0.000223161938655872,0.000575172799751019,0.000798334738406891,0.00012,0.326,0.0806126568420975,0.0825961378494205,0.0465271103477311,0.402631578947368,0.000583226408491776,"DV"
"10","CAGU","Laridae (Gulls, Terns, Skimmers)","California Gull","Larus californicus",24.19,48.39,3,TRUE,"Y",">1% gobal population uses CCS","CAGU","LC","decreasing",NA,NA,NA,NA,NA,NA,0.00083754112948995,0.00252487134488712,0.00336241247437707,0.04989,0.129,0.395367809257138,0.416256829949246,0.210760304611066,0.143421052631579,0.290855009914849,"CV"
