expert,target_species,ref_model,weight,model_code
1,Short-tailed Albatross,Black-legged Kittiwake,0.25,BLKI
1,Short-tailed Albatross,Laysan Albatross,0.25,LAAL
1,Short-tailed Albatross,Black-footed Albatross,0.25,BFAL
1,Short-tailed Albatross,Leach’s Storm Petrel,0.25,LESP
1,Townsend's Storm-Petrel,Black Storm-Petrel,1,BLSP
1,Hawaiian Petrel,Laysan Albatross,0.25,LAAL
1,Hawaiian Petrel,Black-footed Albatross,0.25,BFAL
1,Hawaiian Petrel,Leach’s Storm Petrel,0.25,LESP
1,Hawaiian Petrel,Murphy’s Petrel,0.25,MUPE
2,Short-tailed Albatross,Black-footed Albatross,0.5,BFAL
2,Short-tailed Albatross,Pink-footed Shearwater,0.3,PFSH
2,Short-tailed Albatross,Buller’s Shearwater,0.2,BULS
2,Townsend's Storm-Petrel,"Combined Scripp’s, Guadalupe, & Craveri’s Murrelet Model",0.15,SCMU-GUMU-CRMU
2,Townsend's Storm-Petrel,Leach’s Storm Petrel,0.05,LESP
2,Townsend's Storm-Petrel,Black Storm-Petrel,0.8,BLSP
2,Hawaiian Petrel,Murphy’s Petrel,0.59,MUPE
2,Hawaiian Petrel,Cook’s Petrel,0.41,COPE
3,Short-tailed Albatross,Black-legged Kittiwake,0.1,BLKI
3,Short-tailed Albatross,Black-footed Albatross,0.8,BFAL
3,Short-tailed Albatross,Pink-footed Shearwater,0.05,PFSH
3,Short-tailed Albatross,Buller’s Shearwater,0.05,BULS
3,Townsend's Storm-Petrel,"Combined Scripp’s, Guadalupe, & Craveri’s Murrelet Model",0.1,SCMU-GUMU-CRMU
3,Townsend's Storm-Petrel,Black Storm-Petrel,0.9,BLSP
3,Hawaiian Petrel,Laysan Albatross,0.8,LAAL
3,Hawaiian Petrel,Leach’s Storm Petrel,0.1,LESP
3,Hawaiian Petrel,Murphy’s Petrel,0.05,MUPE
3,Hawaiian Petrel,Cook’s Petrel,0.05,COPE
4,Short-tailed Albatross,Black-footed Albatross,0.4,BFAL
4,Short-tailed Albatross,Northern Fulmar,0.3,NOFU
4,Short-tailed Albatross,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.3,STTS-SOSH-FFSH
4,Townsend's Storm-Petrel,Black Storm-Petrel,0.4,BLSP
4,Townsend's Storm-Petrel,Black-vented Shearwater,0.6,BVSH
4,Hawaiian Petrel,Black-footed Albatross,0.4,BFAL
4,Hawaiian Petrel,"Combined Short-tailed, Sooty, & Flesh-footed Shearwater Model",0.6,STTS-SOSH-FFSH
5,Short-tailed Albatross,Cassin’s Auklet,0.1,CAAU
5,Short-tailed Albatross,Ancient Murrelet,0.05,ANMU
5,Short-tailed Albatross,Black-legged Kittiwake,0.1,BLKI
5,Short-tailed Albatross,Laysan Albatross,0.15,LAAL
5,Short-tailed Albatross,Black-footed Albatross,0.3,BFAL
