SIS ID,Sequence,Family,Scientific name,Common name,RL Category,PE,PEW,Seabird,Waterbird,Landbird,Migratory status,Ecosystem - Terrestrial,Ecosystem - Freshwater,Ecosystem - Marine,RL AOO,Criteria met at highest level,RL EOO (smaller of breeding and non-breeding EOO),Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
112665,20290,"Rails, Gallinules, Coots",Mentocrex beankaensis,Tsingy Forest Rail,VU,False,False,False,True,False,Not a migrant,True,True,False,0,B1ab(iii),5400.0,2500-9999,suspected,Decreasing,suspected
444,5810,"Ducks, Geese, Swans",Spatula cyanoptera,Cinnamon Teal,LC,False,False,False,True,False,Full migrant,True,True,False,0,,3.4E7,380000,inferred,Decreasing,suspected
445,5780,"Ducks, Geese, Swans",Spatula smithii,Cape Shoveler,LC,False,False,False,True,False,Not a migrant,True,True,True,0,,3380000.0,13300-33300,estimated,Increasing,suspected
343,4320,Screamers,Anhima cornuta,Horned Screamer,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,1.23E7,16700-66700,estimated,Stable,suspected
344,4330,Screamers,Chauna chavaria,Northern Screamer,LC,False,False,False,True,False,Not a migrant,False,True,False,0,,267000.0,60000-130000,inferred,Stable,suspected
345,4340,Screamers,Chauna torquata,Southern Screamer,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,4690000.0,66700-667000,estimated,Stable,suspected
346,4350,Magpie Goose,Anseranas semipalmata,Magpie Goose,LC,False,False,False,True,False,Nomadic,True,True,False,0,,5050000.0,667000-667000,estimated,Stable,suspected
347,4380,"Ducks, Geese, Swans",Dendrocygna guttata,Spotted Whistling-duck,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,5630000.0,6700-17000,estimated,Stable,suspected
348,4410,"Ducks, Geese, Swans",Dendrocygna eytoni,Plumed Whistling-duck,LC,False,False,False,True,False,Not a migrant,True,True,False,0,,8030000.0,66700-667000,estimated,Stable,suspected
349,4400,"Ducks, Geese, Swans",Dendrocygna bicolor,Fulvous Whistling-duck,LC,False,False,False,True,False,Full migrant,True,True,False,0,,1.48E8,Unknown,estimated,Decreasing,suspected
351,4430,"Ducks, Geese, Swans",Dendrocygna javanica,Lesser Whistling-duck,LC,False,False,False,True,False,Not a migrant,True,True,True,0,,3.02E7,133000-1330000,estimated,Decreasing,suspected
