TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,NFA_new,NFA_min,NFA_max,NFA_Score,NFA_Uncertainty_pct,DFA_new,DFA_min,DFA_max,DFA_Score,DFA_Uncertainty_pct,FA_N&D,FA24,FA24_min,FA24_max,FA,FA_litSourceNo,FA_litSourceNo_rescaled,FA_valueRangeDif,FA_actVSsimSpp,uFA,uFA_old,FA_Reference,RSZt_new,RSZt_min,RSZt_max,RSZt_litSourceNo,RSZt_litSourceNo_rescaled,RSZt_valueRangeDif,RSZt_actVSsimSpp,uRSZt,RSZt_Score,RSZt_Uncertainty_pct,RSZt_Reference,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Collision_Score,MA_Uncertainty_pct,MA_Reference,CV_new,uCV,CV_Best_Estimate_old,uCV_old
6756,Tropicbirds,Red-billed Tropicbird,RBTR,Phaethon aethereus,0.17,0.17,NA,NA,NA,0.58,0.51,0.65,NA,NA,0.375,0.26,0.25,0.39,0.318,2,0.667,0.14,0.5,0.436,NA,"similar spp: RTTR: Adams et al. 2020, Bonnet-Lebrun et al. 2021",0.706,0.706,NA,1,0.833,0,0.5,0.444,NA,NA,similar spp: RTTR: Adams et al. 2020,0.235,0.18,0.29,1,0.833,0.11,0.25,0.398,NA,NA,Robinson Willmott et al. 2013,0.17148,0.077,NA,0
6085,Phalaropes,Red Phalarope,REPH,Phalaropus fulicarius,0.218,NA,NA,3,0.5,0.435,0.39,0.48,3,0.5,0.326,0.71,0.65,0.77,0.518,5,0.167,0.12,0.5,0.262,0.5,"Adams et al. 2016, R. Carle pers. comm., Drew et al. 2005, Takekawa et al. 2017; similar spp: RNPH: van Bemmelen et al. 2016",0.42,0.09,0.75,1,0.833,0.66,0.5,0.664,1,0.5,Robinson Willmott et al. 2013,0.27,0.27,NA,1,0.833,0,0.75,0.528,3,0.5,similar spp: shorebirds: Krijgsveld et al. 2011,0.15886,0.092,7,0.125
6086,Phalaropes,Red-necked Phalarope,RNPH,Phalaropus lobatus,0.193,NA,NA,2,0.5,0.385,0.25,0.52,3,0.5,0.289,0.71,0.65,0.77,0.499,5,0.167,0.27,0.25,0.229,0.5,"Adams et al. 2016, R. Carle pers. comm., Drew et al. 2005, Takekawa et al. 2017,  van Bemmelen et al. 2016",0.42,0.09,0.75,1,0.833,0.66,0.25,0.581,1,0.5,Robinson Willmott et al. 2013,0.27,0.27,NA,1,0.833,0,0.75,0.528,3,0.5,similar spp: shorebirds: Krijgsveld et al. 2011,0.15311,0.07,6.33,0.125
296,Sea Ducks,Brant,BRAN,Branta bernicla,0.75,0.75,NA,1,0.5,0.75,0.75,NA,1,0.5,0.75,0.62,0.49,0.64,0.685,3,0.5,0.15,0.5,0.383,0.5,"Drew et al. 2005, Lewis et al. 2020; similar spp: geese: Weiser et al. 2024",0.31,0.18,0.42,2,0.667,0.24,0.5,0.469,5,0.25,"Robinson Willmott et al. 2013, Weiser et al. 2024",0.68,0.68,NA,1,0.833,0,0.25,0.361,1,0.25,Krijgsveld et al. 2011,0.06795,0.065,7,3.125
6543,Gulls,Glaucous-winged Gull,GWGU,Larus glaucescens,NA,NA,NA,3,0.5,0.56,0.4,0.62,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.35,0.038,0.473,9,0,0.435,0.5,0.312,5,0.1,"similar spp: HEEG/GBBG: Borkenhagen et al. 2018, Bradbury et al. 2014, Johnston and Cook 2016; GBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014, Skov et al. 2018; SBGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.473,4,0.333,0.473,0.5,0.435,1,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; GBBG: Cook et al. 2014, Skov et al. 2018",0.06577,0.05,9,0.025
6470,Gulls,Heermanns Gull,HEEG,Larus heermanni,NA,NA,NA,2,0.5,0.23,0.14,0.32,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.266,0.038,0.66,10,0,0.622,0.5,0.374,5,0.25,"similar spp: LBBG: Bradbury et al. 2014, Borkenhagen et al. 2018, Johnston and Cook 2016, Ross-Smith et al. 2016, Skov et al. 2018; COGU/LBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014; COGU:  BTGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.639,4,0.333,0.639,0.5,0.491,2,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.04989,0.068,9.33,0.063
6477,Gulls,Short-billed Gull,SBIG,Larus brachyrhynchus,NA,NA,NA,2,0.5,0.34,0.32,0.34,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.266,0.038,0.66,10,0,0.622,0.5,0.374,5,0.25,"similar spp: LBBG: Bradbury et al. 2014, Borkenhagen et al. 2018, Johnston and Cook 2016, Ross-Smith et al. 2016, Skov et al. 2018; COGU/LBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014; COGU: BTGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.639,4,0.333,0.639,0.5,0.491,2,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.04989,0.068,9.33,0.063
6479,Gulls,Ring-billed Gull,RBGU,Larus delawarensis,NA,NA,NA,3,0.5,0.32,0.32,NA,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.266,0.038,0.66,10,0,0.622,0.5,0.374,5,0.25,"similar spp: LBBG: Bradbury et al. 2014, Borkenhagen et al. 2018, Johnston and Cook 2016, Ross-Smith et al. 2016, Skov et al. 2018; COGU/LBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014; COGU: BTGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.639,4,0.333,0.639,0.5,0.491,2,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.04989,0.068,10,0.063
6539,Gulls,California Gull,CAGU,Larus californicus,NA,NA,NA,2,0.5,0.37,0.24,0.5,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.266,0.038,0.66,10,0,0.622,0.5,0.374,5,0.25,"similar spp: LBBG: Bradbury et al. 2014, Borkenhagen et al. 2018, Johnston and Cook 2016, Ross-Smith et al. 2016, Skov et al. 2018; COGU/LBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014; BTGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.639,4,0.333,0.639,0.5,0.491,2,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.04989,0.068,9.33,0.063
6553,Gulls,Iceland Gull,ICGU,Larus glaucoides,NA,NA,NA,2,0.5,0.32,0.32,NA,3,0.5,NA,0.268,0.105,0.388,0.268,4,0.333,0.283,0.5,0.372,0.5,similar spp: BTGU: Park et al. 2024; HERG: VanDonk et al. 2018; LBBG: Brown et al. 2023; WEGU: Shaffer et al. 2017,0.266,0.038,0.66,10,0,0.622,0.5,0.374,5,0.25,"similar spp: LBBG: Bradbury et al. 2014, Borkenhagen et al. 2018, Johnston and Cook 2016, Ross-Smith et al. 2016, Skov et al. 2018; COGU/LBBG: Cook et al. 2012, Furness et al. 2013, Johnston et al. 2014; COGU: BTGU: Mikami et al. 2022; gull spp: Cook et al. 2018",0.298,0,0.639,4,0.333,0.639,0.5,0.491,2,0.5,"similar spp: gulls: Cook et al. 2012, Krijgsveld et al. 2011; LBBG: Cook et al. 2014, Skov et al. 2018",0.04989,0.068,9.33,0.063
