TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Displacement_Score,MA_Uncertainty_pct,MA_Reference,FS,SS,HS,uHS,HF_Score,HF_Uncertainty_pct,HS_Reference,DV_new,uDV,DV_Best_Estimate_old,uDV_old
296,Sea Ducks,Brant,BRAN,Branta bernicla,0.68,0.68,NA,1,0.833,0,0.25,0.361,5,0.25,Krijgsveld et al. 2011,0.833,0.7,0.767,0.583,4,0.5,"eBird 2021, Lewis et al. 2020",0.521,0.181,9,12.5
720,Sea Ducks,Common Merganser,COME,Mergus merganser,0.735,0.71,0.758,2,0.667,0.048,0.75,0.488,4,0.5,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.9,0.783,0.583,1,0.25,"eBird 2021, Pearce et al. 2020",0.576,0.244,5,0.125
728,Sea Ducks,Red-breasted Merganser,RBME,Mergus serrator,0.735,0.71,0.758,2,0.667,0.048,0.75,0.488,4,0.5,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.9,0.783,0.583,1,0.5,"Craik et al. 2020, eBird 2021",0.576,0.244,5,0.25
687,Sea Ducks,Harlequin Duck,HADU,Histrionicus histrionicus,0.735,0.71,0.758,2,0.667,0.048,0.75,0.488,5,0.25,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",1,0.9,0.95,0.583,4,0.1,"eBird 2021, Robertson and Goudie 2020",0.698,0.244,9,0.025
688,Sea Ducks,Surf Scoter,SUSC,Melanitta perspicillata,0.9,0.9,NA,1,0.833,0,0.5,0.444,5,0.25,similar spp: COSC: Bradbury et al. 2014,0.833,0.802,0.818,0.458,4,0.5,"Anderson et al. 2020, Leirness et al. 2021",0.736,0.111,9,0.125
690,Sea Ducks,White-winged Scoter,WWSC,Melanitta deglandi,0.9,0.9,NA,1,0.833,0,0.5,0.444,5,0.25,similar spp: COSC: Bradbury et al. 2014,0.833,0.802,0.818,0.458,3,0.5,"Brown and Fredrickson 2020, Leirness et al. 2021",0.736,0.111,8,0.125
696,Sea Ducks,Black Scoter,BLSC,Melanitta americana,0.9,0.9,NA,1,0.833,0,0.5,0.444,5,0.25,similar spp: COSC: Bradbury et al. 2014,0.833,0.9,0.867,0.583,4,0.5,"Borage and Savard 2020, eBird 2021",0.78,0.222,9,0.125
700,Sea Ducks,Long-tailed Duck,LTDU,Clangula hyemalis,0.735,0.71,0.758,2,0.667,0.048,0.75,0.488,5,0.25,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.9,0.783,0.583,4,0.1,"Robertson and Savard 2020, eBird 2021",0.576,0.244,9,0.025
6768,Loons,Red-throated Loon,RTLO,Gavia stellata,0.81,0.81,NA,1,0.833,0,0.25,0.361,5,0.1,Vanermen et al. 2022,0.667,0.74,0.704,0.458,4,0.1,"Leirness et al. 2021, Rizzolo et al. 2020",0.57,0.09,9,0.01
6772,Loons,Pacific Loon,PALO,Gavia pacifica,0.81,0.6,0.94,5,0.167,0.34,0.5,0.336,5,0.1,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.667,0.646,0.657,0.458,4,0.5,"Leirness et al. 2021, Russell 2020",0.532,0.084,9,0.05
