alpha_code,taxonomy,common_name,scientific_name,pct_in_CCS_Lower,pct_in_CCS_Upper,CCSpop_Score,CACurrent_breeding,regional,why?,exposure_model
RNPH,Scolopacidae (Sandpipers and Allies),Red-necked Phalarope,Phalaropus lobatus,68.52,68.52,4,FALSE,Y,>1% gobal population uses CCS,PHAL
REPH,Scolopacidae (Sandpipers and Allies),Red Phalarope,Phalaropus fulicarius,59.68,80.65,4,FALSE,Y,>1% gobal population uses CCS,PHAL
WIPH,Scolopacidae (Sandpipers and Allies),Wilson's Phalarope,Phalaropus tricolor,NA,NA,NA,FALSE,N,inshore (only on the list as an artifact of the way the phalarope SDM was made),PHAL
SOSH,Procellariidae (Shearwaters and Petrels),Sooty Shearwater,Ardenna grisea,24.5,35,3,FALSE,Y,>1% gobal population uses CCS,STTS-SOSH-FFSH
STSH,Procellariidae (Shearwaters and Petrels),Short-tailed Shearwater,Ardenna tenuirostris,0.04,0.13,1,FALSE,N,"think we should leave this one off – data on local distribution is poor and outdated but no local breeding and no known important migratory route through CCS, just low % of population use in nonbreeding season",STTS-SOSH-FFSH
FFSH,Procellariidae (Shearwaters and Petrels),Flesh-footed Shearwater,Ardenna carneipes,NA,NA,1,FALSE,N,"think we should leave this one off – data on local distribution is poor and outdated but no local breeding and no known important migratory route through CCS, just low % of population use in nonbreeding season",STTS-SOSH-FFSH
CAAU,"Alcidae (Auks, Murres, and Puffins)",Cassin's Auklet,Ptychoramphus aleuticus,3.78,0,2,TRUE,Y,>1% gobal population uses CCS,CAAU
NOFU,Procellariidae (Shearwaters and Petrels),Northern Fulmar,Fulmarus glacialis,3.27,20,2,FALSE,Y,>1% gobal population uses CCS,NOFU
COMU,"Alcidae (Auks, Murres, and Puffins)",Common Murre,Uria aalge,5.44,6.08,2,TRUE,Y,>1% gobal population uses CCS,COMU
CAGU,"Laridae (Gulls, Terns, and Skimmers)",California Gull,Larus californicus,24.19,48.39,3,TRUE,Y,>1% gobal population uses CCS,CAGU
WEGU,"Laridae (Gulls, Terns, and Skimmers)",Western Gull,Larus occidentalis,52.28,78.63,4,TRUE,Y,>1% gobal population uses CCS,WEGU-WGWH-GWGU
GWGU,"Laridae (Gulls, Terns, and Skimmers)",Glaucous-winged Gull,Larus glaucescens,13.78,20.65,2,TRUE,Y,>1% gobal population uses CCS,WEGU-WGWH-GWGU
BFAL,Diomedeidae (Albatrosses),Black-footed Albatross,Phoebastria nigripes,18.33,83.33,3,FALSE,Y,>1% gobal population uses CCS,BFAL
RHAU,"Alcidae (Auks, Murres, and Puffins)",Rhinoceros Auklet,Cerorhinca monocerata,3.3,4.75,2,TRUE,Y,>1% gobal population uses CCS,RHAU
PFSH,Procellariidae (Shearwaters and Petrels),Pink-footed Shearwater,Ardenna creatopus,70,70,4,FALSE,Y,>1% gobal population uses CCS,PFSH
LESP,Hydrobatidae (Northern Storm-Petrels),Leach's Storm-Petrel,Hydrobates leucorhous,7.58,8.83,2,TRUE,Y,>1% gobal population uses CCS,LESP
BLKI,"Laridae (Gulls, Terns, and Skimmers)",Black-legged Kittiwake,Rissa tridactyla,5.71,9.71,2,FALSE,Y,>1% gobal population uses CCS,BLKI
FTSP,Hydrobatidae (Northern Storm-Petrels),Fork-tailed Storm-Petrel,Hydrobates furcatus,0.16,0.17,1,TRUE,Y,breeds in CCS,FTSP
HERG,"Laridae (Gulls, Terns, and Skimmers)",American Herring Gull,Larus smithsonianus,7.23,0,2,FALSE,Y,>1% gobal population uses CCS,HERG-ICGU
ICGU,"Laridae (Gulls, Terns, and Skimmers)",Iceland Gull,Larus glaucoides,15,15,2,FALSE,Y,>1% gobal population uses CCS,HERG-ICGU
NA,NA,NA,NA,NA,NA,NA,,NA,NA,JAEG
SAGU,"Laridae (Gulls, Terns, and Skimmers)",Sabine's Gull,Xema sabini,9.71,19.42,2,FALSE,Y,>1% gobal population uses CCS,SAGU
PALO,Gaviidae (Loons),Pacific Loon,Gavia pacifica,0,37.55,3,FALSE,Y,>1% gobal population uses CCS,LOON
YBLO,Gaviidae (Loons),Yellow-billed Loon,Gavia adamsii,2,3,2,FALSE,Y,>1% gobal population uses CCS,LOON
ARLO,Gaviidae (Loons),Arctic Loon,Gavia arctica,NA,NA,NA,FALSE,N,only on the list as an artifact of the timing of the split from PALO and the way the loon SDM was made,LOON
POJA,Stercorariidae (Skuas and Jaegers),Pomarine Jaeger,Stercorarius pomarinus,1.97,4.06,2,FALSE,Y,>1% gobal population uses CCS,POJA
ASSP,Hydrobatidae (Northern Storm-Petrels),Ashy Storm-Petrel,Hydrobates homochroa,68.42,100,5,TRUE,Y,>1% gobal population uses CCS,ASSP
BOGU,"Laridae (Gulls, Terns, and Skimmers)",Bonaparte's Gull,Chroicocephalus philadelphia,75.95,100,4,FALSE,Y,>1% gobal population uses CCS,BOGU
BUSH,Procellariidae (Shearwaters and Petrels),Buller's Shearwater,Ardenna bulleri,NA,NA,2,FALSE,Y,>1% gobal population uses CCS,BULS
SUSC,"Anatidae (Ducks, Geese, and Waterfowl)",Surf Scoter,Melanitta perspicillata,27.05,80.53,3,FALSE,Y,>1% gobal population uses CCS,SCOT
WWSC,"Anatidae (Ducks, Geese, and Waterfowl)",White-winged Scoter,Melanitta deglandi,6.99,20.82,2,FALSE,Y,>1% gobal population uses CCS,SCOT
BLSC,"Anatidae (Ducks, Geese, and Waterfowl)",Black Scoter,Melanitta americana,0.74,15.88,2,FALSE,Y,>1% gobal population uses CCS,SCOT
PAJA,Stercorariidae (Skuas and Jaegers),Parasitic Jaeger,Stercorarius parasiticus,0.06,0.13,1,FALSE,Y,"presumed and observed migration through CCS, but poor data on timing/routes/abundance, should include precautionarily",PAJA-LTJA
LTJA,Stercorariidae (Skuas and Jaegers),Long-tailed Jaeger,Stercorarius longicaudus,NA,NA,1,FALSE,Y,"presumed and observed migration through CCS, but poor data on timing/routes/abundance, should include precautionarily",PAJA-LTJA
BRPE,Pelecanidae (Pelicans),Brown Pelican,Pelecanus occidentalis,47.12,70.68,3,TRUE,Y,>1% gobal population uses CCS,BRPE
ARTE,"Laridae (Gulls, Terns, and Skimmers)",Arctic Tern,Sterna paradisaea,7.13,11.88,2,FALSE,Y,>1% gobal population uses CCS,COTE-ARTE
COTE,"Laridae (Gulls, Terns, and Skimmers)",Common Tern,Sterna hirundo,0.26,0.44,1,FALSE,N,"doesn't breed in CCS, no known important migratory routes through offshore region",COTE-ARTE
CLGR,Podicipedidae (Grebes),Clark's Grebe,Aechmophorus clarkii,36.88,73.75,3,FALSE,Y,>1% gobal population uses CCS,WEGR-CLGR
WEGR,Podicipedidae (Grebes),Western Grebe,Aechmophorus occidentalis,86.23,81.69,4,FALSE,Y,>1% gobal population uses CCS,WEGR-CLGR
BVSH,Procellariidae (Shearwaters and Petrels),Black-vented Shearwater,Puffinus opisthomelas,9.76,14.63,2,FALSE,Y,>1% gobal population uses CCS,BVSH
HEEG,"Laridae (Gulls, Terns, and Skimmers)",Heermann's Gull,Larus heermanni,5.09,90,3,TRUE,Y,>1% gobal population uses CCS,HEEG
SPSK,Stercorariidae (Skuas and Jaegers),South Polar Skua,Stercorarius maccormicki,NA,NA,2,FALSE,Y,>1% gobal population uses CCS,SPSK
,,,,NA,NA,NA,FALSE,NA,NA,CORM
BLSP,Hydrobatidae (Northern Storm-Petrels),Black Storm-Petrel,Hydrobates melania,0.07,0.51,1,TRUE,Y,breeds in CCS,BLSP
ELTE,"Laridae (Gulls, Terns, and Skimmers)",Elegant Tern,Thalasseus elegans,1.42,70.92,3,TRUE,Y,>1% gobal population uses CCS,ROYT-ELTE
ROYT,"Laridae (Gulls, Terns, and Skimmers)",Royal Tern,Thalasseus maximus,0.14,5.41,1,TRUE,N,"technically breeds irregularly in southern CA, but breeds and forages primarily inshore, not considered highly pelagic",ROYT-ELTE
LAAL,Diomedeidae (Albatrosses),Laysan Albatross,Phoebastria immutabilis,NA,NA,1,TRUE,Y,tentative suggestion to include precautionarily given that they breed on Guadalupe Island and based on discussions of translocation to channel islands (Raine et al 2022),LAAL
TUPU,"Alcidae (Auks, Murres, and Puffins)",Tufted Puffin,Fratercula cirrhata,0.01,0.01,2,TRUE,Y,>1% gobal population uses CCS,TUPU
MAMU,"Alcidae (Auks, Murres, and Puffins)",Marbled Murrelet,Brachyramphus marmoratus,0.71,2.41,2,TRUE,Y,>1% gobal population uses CCS,MAMU
PECO,Phalacrocoracidae (Cormorants and Shags),Pelagic Cormorant,Urile pelagicus,7,7.49,2,TRUE,Y,>1% gobal population uses CCS,PECO
