TaxNumCl_2023,Taxonomy,Common_Name,AlphaCode,Scientific_Name,MA_new,MA_min,MA_max,MA_litSourceNo,MA_litSourceNo_rescaled,MA_valueRangeDif,MA_actVSsimSpp,uMA,MA_Displacement_Score,MA_Uncertainty_pct,MA_Reference,FS,SS,HS,uHS,HF_Score,HF_Uncertainty_pct,HS_Reference,DV_new,uDV,DV_Best_Estimate_old,uDV_old
296,Sea Ducks,Brant,BRAN,Branta bernicla,0.680,0.680,NA,1,0.833,0.000,0.250,0.361,5,25.000,Krijgsveld et al. 2011,0.833,0.700,0.767,0.583,4,0.500,"eBird 2021, Lewis et al. 2020",0.521,0.181,9,12.500
720,Sea Ducks,Common Merganser,COME,Mergus merganser,0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,4,0.500,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.900,0.783,0.583,1,0.250,"eBird 2021, Pearce et al. 2020",0.576,0.244,5,0.125
728,Sea Ducks,Red-breasted Merganser,RBME,Mergus serrator,0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,4,0.500,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.900,0.783,0.583,1,0.500,"Craik et al. 2020, eBird 2021",0.576,0.244,5,0.250
687,Sea Ducks,Harlequin Duck,HADU,Histrionicus histrionicus,0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,5,0.250,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",1.000,0.900,0.950,0.583,4,0.100,"eBird 2021, Robertson and Goudie 2020",0.698,0.244,9,0.025
688,Sea Ducks,Surf Scoter,SUSC,Melanitta perspicillata,0.900,0.900,NA,1,0.833,0.000,0.500,0.444,5,0.250,similar spp: COSC: Bradbury et al. 2014,0.833,0.802,0.818,0.458,4,0.500,"Anderson et al. 2020, Leirness et al. 2021",0.736,0.111,9,0.125
690,Sea Ducks,White-winged Scoter,WWSC,Melanitta deglandi,0.900,0.900,NA,1,0.833,0.000,0.500,0.444,5,0.250,similar spp: COSC: Bradbury et al. 2014,0.833,0.802,0.818,0.458,3,0.500,"Brown and Fredrickson 2020, Leirness et al. 2021",0.736,0.111,8,0.125
696,Sea Ducks,Black Scoter,BLSC,Melanitta americana,0.900,0.900,NA,1,0.833,0.000,0.500,0.444,5,0.250,similar spp: COSC: Bradbury et al. 2014,0.833,0.900,0.867,0.583,4,0.500,"Borage and Savard 2020, eBird 2021",0.780,0.222,9,0.125
700,Sea Ducks,Long-tailed Duck,LTDU,Clangula hyemalis,0.735,0.710,0.758,2,0.667,0.048,0.750,0.488,5,0.250,"similar spp: seaducks: Cook et al. 2012, Krijgsveld et al. 2011",0.667,0.900,0.783,0.583,4,0.100,"Robertson and Savard 2020, eBird 2021",0.576,0.244,9,0.025
6768,Loons,Red-throated Loon,RTLO,Gavia stellata,0.810,0.810,NA,1,0.833,0.000,0.250,0.361,5,0.100,Vanermen et al. 2022,0.667,0.740,0.704,0.458,4,0.100,"Leirness et al. 2021, Rizzolo et al. 2020",0.570,0.090,9,0.010
6772,Loons,Pacific Loon,PALO,Gavia pacifica,0.810,0.600,0.940,5,0.167,0.340,0.500,0.336,5,0.100,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.667,0.646,0.657,0.458,4,0.500,"Leirness et al. 2021, Russell 2020",0.532,0.084,9,0.050
6774,Loons,Common Loon,COLO,Gavia immer,0.810,0.600,0.940,5,0.167,0.340,0.500,0.336,5,0.100,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.500,0.676,0.588,0.458,4,0.100,"Leirness et al. 2021, Paruk et al. 2021",0.476,0.084,9,0.010
6775,Loons,Yellow-billed Loon,YBLO,Gavia adamsii,0.810,0.600,0.940,5,0.167,0.340,0.500,0.336,5,0.100,"similar spp: divers: Cook et al. 2012, Garthe et al. 2023, Krijgsveld et al. 2011, Welcker and Nehls 2016; RTLO: Vanermen et al. 2022",0.500,0.646,0.573,0.458,4,0.500,"Leirness et al. 2021, Uher-Koch et al. 2020",0.464,0.084,9,0.050
1842,Grebes,Horned Grebe,HOGR,Podiceps auritus,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.900,0.867,0.583,4,0.100,"eBird 2021, Stedman 2020",0.338,0.231,9,0.050
1845,Grebes,Red-necked Grebe,RNGR,Podiceps grisegena,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.900,0.867,0.583,3,0.100,"eBird 2021, Stout and Nuechterlein 2020",0.338,0.231,8,0.050
1852,Grebes,Eared Grebe,EAGR,Podiceps nigricollis,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.900,0.867,0.583,3,0.500,"eBird 2021, Cullen et al. 2020",0.338,0.231,8,0.250
1864,Grebes,Western Grebe,WEGR,Aechmophorus occidentalis,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.922,0.878,0.458,3,0.500,"LaPorte et al. 2020b, Leirness et al. 2021",0.342,0.116,8,0.250
1867,Grebes,Clarks Grebe,CLGR,Aechmophorus clarkii,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,"similar spp: grebes: Cook et al. 2012, Krijgsveld et al. 2011",0.833,0.922,0.878,0.458,3,0.500,"LaPorte et al. 2020a, Leirness et al. 2021",0.342,0.116,8,0.250
6827,Albatross,Laysan Albatross,LAAL,Phoebastria immutabilis,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.333,0.101,0.217,0.458,1,0.500,"Awkerman et al. 2020b, Leirness et al. 2021",0.085,0.116,6,0.250
6828,Albatross,Black-footed Albatross,BFAL,Phoebastria nigripes,0.390,0.280,0.500,2,0.667,0.220,0.500,0.462,5,0.500,similar spp: Cook et al. 2012; NOFU: Krijgsveld et al. 2011,0.333,0.339,0.336,0.458,1,0.500,"Awkerman et al. 2020a, Leirness et al. 2021",0.131,0.116,6,0.250
