common_name,exp_ci,CV,DV,rl_category,ess_ci
Pink-footed Shearwater,"0.594 (0.573, 0.615)",6e-4,0.204,VU,"2.598 (2.251, 2.992)"
Cassin's Auklet,"0.411 (0.393, 0.427)",8.2e-4,0.518,NT,"1.434 (1.269, 1.601)"
Red Phalarope,"0.157 (0.153, 0.163)",0.15886,0.195,LC,"0.599 (0.581, 0.621)"
Red-necked Phalarope,"0.157 (0.153, 0.163)",0.15311,0.195,LC,"0.552 (0.535, 0.572)"
Ashy Storm-Petrel,"0.211 (0.206, 0.217)",0.00619,0.369,EN,"0.488 (0.471, 0.509)"
Guadalupe Murrelet,"0.135 (0.130, 0.140)",5.8e-4,0.537,EN,"0.458 (0.443, 0.473)"
Pomarine Jaeger,"0.489 (0.468, 0.515)",0.01383,0.02,LC,"0.424 (0.365, 0.504)"
Rhinoceros Auklet,"0.326 (0.313, 0.341)",2e-5,0.408,LC,"0.393 (0.359, 0.435)"
Craveri's Murrelet,"0.135 (0.130, 0.140)",7e-4,0.589,VU,"0.383 (0.371, 0.396)"
Sooty Shearwater,"0.357 (0.344, 0.373)",2.6e-4,0.209,NT,"0.365 (0.333, 0.407)"
Scripps's Murrelet,"0.135 (0.130, 0.140)",5.5e-4,0.537,VU,"0.324 (0.313, 0.334)"
Townsend's Storm-Petrel,"0.135 (0.069, 0.223)",0.00515,0.371,EN,"0.292 (0.182, 0.525)"
Buller's Shearwater,"0.286 (0.274, 0.299)",4.5e-4,0.181,VU,"0.290 (0.267, 0.316)"
Sabine's Gull,"0.362 (0.346, 0.380)",0.01333,0.155,LC,"0.271 (0.242, 0.305)"
South Polar Skua,"0.408 (0.376, 0.445)",0.0124,0.038,LC,"0.253 (0.201, 0.323)"
Marbled Murrelet,"0.033 (0.031, 0.036)",3.6e-4,0.555,EN,"0.241 (0.237, 0.245)"
Bonaparte's Gull,"0.312 (0.259, 0.451)",0.01333,0.2,LC,"0.233 (0.154, 0.574)"
Black Scoter,"0.020 (0.019, 0.021)",2.7e-4,0.78,NT,"0.226 (0.224, 0.227)"
Short-tailed Albatross,"0.201 (0.013, 0.328)",0.01056,0.162,VU,"0.209 (0.048, 0.421)"
Northern Fulmar,"0.358 (0.346, 0.372)",5.9e-4,0.137,LC,"0.207 (0.190, 0.227)"
Hawaiian Petrel,"0.094 (0.009, 0.382)",7.4e-4,0.26,EN,"0.207 (0.079, 1.024)"
California Gull,"0.253 (0.235, 0.266)",0.04989,0.129,LC,"0.198 (0.175, 0.216)"
Black-footed Albatross,"0.249 (0.231, 0.269)",0.01043,0.131,NT,"0.157 (0.138, 0.179)"
Pigeon Guillemot,"0.108 (0.105, 0.110)",2.3e-4,0.583,LC,"0.155 (0.152, 0.157)"
Common Loon,"0.156 (0.141, 0.166)",6.7e-4,0.476,LC,"0.154 (0.138, 0.165)"
Yellow-billed Loon,"0.095 (0.091, 0.100)",0.00203,0.464,NT,"0.141 (0.136, 0.146)"
White-winged Scoter,"0.020 (0.019, 0.021)",3e-4,0.736,LC,"0.139 (0.138, 0.140)"
Surf Scoter,"0.020 (0.019, 0.021)",1.9e-4,0.736,LC,"0.138 (0.137, 0.139)"
Brown Pelican,"0.072 (0.070, 0.074)",0.01108,0.553,LC,"0.129 (0.127, 0.130)"
Pacific Loon,"0.095 (0.091, 0.100)",0.00231,0.532,LC,"0.124 (0.120, 0.129)"
Red-throated Loon,"0.067 (0.065, 0.070)",0.00208,0.57,LC,"0.115 (0.113, 0.118)"
Elegant Tern,"0.098 (0.096, 0.101)",0.01952,0.308,NT,"0.112 (0.110, 0.113)"
Black-legged Kittiwake,"0.129 (0.120, 0.142)",0.02823,0.093,VU,"0.111 (0.104, 0.121)"
Glaucous-winged Gull,"0.132 (0.128, 0.135)",0.06577,0.127,LC,"0.107 (0.104, 0.110)"
Iceland Gull,"0.193 (0.181, 0.206)",0.04989,0.055,LC,"0.103 (0.095, 0.113)"
Arctic Tern,"0.162 (0.155, 0.170)",0.00273,0.288,LC,"0.090 (0.086, 0.095)"
American Herring Gull,"0.193 (0.181, 0.206)",0.03688,0.055,LC,"0.086 (0.079, 0.094)"
Black Storm-Petrel,"0.139 (0.133, 0.145)",0.00591,0.279,LC,"0.078 (0.075, 0.082)"
Caspian Tern,"0.064 (0.053, 0.070)",0.01513,0.392,LC,"0.077 (0.071, 0.080)"
Heermann's Gull,"0.054 (0.053, 0.056)",0.04989,0.144,NT,"0.075 (0.074, 0.076)"
Ancient Murrelet,"0.030 (0.029, 0.032)",0.0011,0.494,LC,"0.069 (0.068, 0.070)"
Leach's Storm-Petrel,"0.025 (0.023, 0.028)",0.00756,0.228,VU,"0.062 (0.061, 0.064)"
Black-vented Shearwater,"0.081 (0.076, 0.085)",4.5e-4,0.228,NT,"0.058 (0.056, 0.060)"
Western Gull,"0.132 (0.128, 0.135)",0.02582,0.077,LC,"0.052 (0.050, 0.053)"
Tufted Puffin,"0.064 (0.061, 0.066)",3e-5,0.331,LC,"0.051 (0.050, 0.052)"
Common Murre,"0.057 (0.053, 0.062)",1.2e-4,0.326,LC,"0.048 (0.047, 0.049)"
Cook's Petrel,"0.009 (0.009, 0.010)",4.4e-4,0.196,VU,"0.046 (0.045, 0.046)"
Western Grebe,"0.033 (0.030, 0.035)",0.00142,0.342,LC,"0.043 (0.043, 0.044)"
Clark's Grebe,"0.033 (0.030, 0.035)",0.00137,0.342,LC,"0.043 (0.042, 0.044)"
Fork-tailed Storm-Petrel,"0.053 (0.048, 0.057)",0.00615,0.227,LC,"0.037 (0.036, 0.038)"
Long-tailed Jaeger,"0.121 (0.118, 0.125)",0.01544,0.037,LC,"0.037 (0.036, 0.037)"
Parasitic Jaeger,"0.121 (0.118, 0.125)",0.01379,0.037,LC,"0.036 (0.035, 0.037)"
Double-crested Cormorant,"0.068 (0.041, 0.083)",0.00164,0.154,LC,"0.030 (0.025, 0.034)"
Pelagic Cormorant,"0.059 (0.056, 0.062)",0.00116,0.159,LC,"0.029 (0.028, 0.029)"
Laysan Albatross,"0.013 (0.012, 0.013)",0.01054,0.085,NT,"0.027 (0.027, 0.027)"
Murphy's Petrel,"0.026 (0.025, 0.027)",4.9e-4,0.208,LC,"0.027 (0.026, 0.027)"
Brandt's Cormorant,"0.048 (0.046, 0.051)",0.00116,0.124,LC,"0.024 (0.024, 0.024)"
Brant,"NA (NA, NA)",0.06795,0.521,LC,"NA (NA, NA)"
Harlequin Duck,"NA (NA, NA)",0.00465,0.698,LC,"NA (NA, NA)"
Forster's Tern,"NA (NA, NA)",0.01513,0.381,LC,"NA (NA, NA)"
Ring-billed Gull,"NA (NA, NA)",0.04989,0.134,LC,"NA (NA, NA)"
Short-billed Gull,"NA (NA, NA)",0.04989,0.183,LC,"NA (NA, NA)"
Black Skimmer,"NA (NA, NA)",0.01513,0.589,LC,"NA (NA, NA)"
Least Tern,"NA (NA, NA)",0.01171,0.381,LC,"NA (NA, NA)"
Red-billed Tropicbird,"NA (NA, NA)",0.17148,0.184,LC,"NA (NA, NA)"
Eared Grebe,"NA (NA, NA)",0.00169,0.338,LC,"NA (NA, NA)"
Red-necked Grebe,"NA (NA, NA)",0.00156,0.338,LC,"NA (NA, NA)"
Mottled Petrel,"NA (NA, NA)",4.4e-4,0.299,NT,"NA (NA, NA)"
Masked Booby,"NA (NA, NA)",0.00549,0.75,LC,"NA (NA, NA)"
Nazca Booby,"NA (NA, NA)",0.00591,0.75,LC,"NA (NA, NA)"
Blue-footed Booby,"NA (NA, NA)",0.00591,0.75,LC,"NA (NA, NA)"
Coco's Booby,"NA (NA, NA)",0.00608,0.75,LC,"NA (NA, NA)"
Red-footed Booby,"NA (NA, NA)",0.01109,0.678,LC,"NA (NA, NA)"
