common_name,exposure_model,spring,summer,fall,winter,n_retained_annual,n_removed
Ancient Murrelet,ANMU,198,NA,NA,NA,198,2
Ashy Storm-Petrel,ASSP,200,200,200,NA,200,0
Black-footed Albatross,BFAL,200,199,200,199,198,2
Black-legged Kittiwake,BLKI,198,NA,200,199,197,3
Black Storm-Petrel,BLSP,200,198,200,NA,198,2
Bonaparte's Gull,BOGU,189,NA,195,200,184,16
Brandt's Cormorant,BRAC,200,199,NA,NA,199,1
Brown Pelican,BRPE,200,200,200,200,200,0
Buller's Shearwater,BULS,NA,200,200,NA,200,0
Black-vented Shearwater,BVSH,200,NA,200,200,200,0
Cassin's Auklet,CAAU,171,188,196,199,157,43
California Gull,CAGU,200,200,198,174,172,28
Caspian Tern,CATE,200,200,NA,NA,200,0
Common Loon,COLO,175,177,NA,NA,157,43
Common Murre,COMU,197,199,194,198,189,11
Cook's Petrel,COPE,198,200,200,NA,198,2
Arctic Tern,COTE-ARTE,200,200,200,NA,200,0
Double-crested Cormorant,DCCO,200,199,NA,NA,199,1
Fork-tailed Storm-Petrel,FTSP,200,200,194,200,194,6
Heermann's Gull,HEEG,NA,198,200,200,198,2
American Herring Gull,HERG-ICGU,200,200,200,198,198,2
Iceland Gull,HERG-ICGU,200,200,200,198,198,2
Laysan Albatross,LAAL,200,NA,NA,200,200,0
Leach's Storm-Petrel,LESP,196,200,176,199,173,27
Pacific Loon,LOON,198,173,157,200,133,67
Yellow-billed Loon,LOON,198,173,157,200,133,67
Marbled Murrelet,MAMU,195,199,NA,NA,194,6
Murphy's Petrel,MUPE,200,NA,NA,NA,200,0
Northern Fulmar,NOFU,172,194,196,200,164,36
Long-tailed Jaeger,PAJA-LTJA,200,200,200,NA,200,0
Parasitic Jaeger,PAJA-LTJA,200,200,200,NA,200,0
Pelagic Cormorant,PECO,200,198,NA,NA,198,2
Pink-footed Shearwater,PFSH,200,200,198,NA,198,2
Red Phalarope,PHAL,155,200,200,187,143,57
Red-necked Phalarope,PHAL,155,200,200,187,143,57
Pigeon Guillemot,PIGU,200,200,NA,NA,200,0
Pomarine Jaeger,POJA,198,200,200,198,196,4
Rhinoceros Auklet,RHAU,200,200,200,199,199,1
Elegant Tern,ROYT-ELTE,200,200,200,NA,200,0
Red-throated Loon,RTLO,200,192,NA,NA,192,8
Sabine's Gull,SAGU,200,200,181,NA,181,19
Craveri's Murrelet,SCMU-GUMU-CRMU,200,NA,NA,NA,200,0
Guadalupe Murrelet,SCMU-GUMU-CRMU,200,NA,NA,NA,200,0
Scripps's Murrelet,SCMU-GUMU-CRMU,200,NA,NA,NA,200,0
Black Scoter,SCOT,200,200,200,200,200,0
Surf Scoter,SCOT,200,200,200,200,200,0
White-winged Scoter,SCOT,200,200,200,200,200,0
South Polar Skua,SPSK,NA,NA,200,NA,200,0
Sooty Shearwater,STTS-SOSH-FFSH,200,200,175,200,175,25
Tufted Puffin,TUPU,199,200,NA,NA,199,1
Clark's Grebe,WEGR-CLGR,200,NA,200,200,200,0
Western Grebe,WEGR-CLGR,200,NA,200,200,200,0
Glaucous-winged Gull,WEGU-WGWH-GWGU,200,200,200,198,198,2
Western Gull,WEGU-WGWH-GWGU,200,200,200,198,198,2
Hawaiian Petrel,elicited,NA,NA,NA,NA,3769,-3569
Short-tailed Albatross,elicited,NA,NA,NA,NA,3432,-3232
Townsend's Storm-Petrel,elicited,NA,NA,NA,NA,3916,-3716
