common_name,median_rank_321,median_rank_111,median_rank_211,median_rank_121,median_rank_112
Pink-footed Shearwater,1,1,1,10,5
Cassin's Auklet,3,6,3,8,10
Red Phalarope,4,9,8,1,15
Red-necked Phalarope,4,10,10,2,16
Ashy Storm-Petrel,6,3,4,8,2
Guadalupe Murrelet,7,2,5,3,1
Craveri's Murrelet,9,7,8,6,6
Pomarine Jaeger,10,25,10,38,29
Scripps's Murrelet,10,8,10,9,8
Rhinoceros Auklet,11,17,14,19,24
Marbled Murrelet,13,5,12,5,3
Townsend's Storm-Petrel,13,7,9,11,4
Black Scoter,14,12,18,5,13
Buller's Shearwater,15,13,11,22,10
South Polar Skua,16,31,15,45,34
Sooty Shearwater,17,19,16,30,19
Bonaparte's Gull,18,32,20,34,34
Pigeon Guillemot,20,24,25,15,28
Northern Fulmar,21,36,20,46,37
Surf Scoter,21,19,29,12,26
White-winged Scoter,21,19,29,12,26
Black-footed Albatross,23,25,18,34,21
Sabine's Gull,24,35,22,39,37
Yellow-billed Loon,24,18,22,17,19
Brown Pelican,25,26,31,16,30
Short-tailed Albatross,25,16,18,26,12
Common Loon,27,31,30,23,33
Pacific Loon,27,29,32,20,32
Red-throated Loon,27,28,34,18,31
California Gull,29,35,28,33,36
Elegant Tern,29,23,25,23,20
Black-legged Kittiwake,30,17,20,27,12
Glaucous-winged Gull,31,35,34,29,36
Hawaiian Petrel,32,13,19,19,7
Arctic Tern,34,40,36,38,41
Iceland Gull,35,41,35,39,42
Heermann's Gull,37,30,36,28,22
Ancient Murrelet,38,38,43,26,39
Black Storm-Petrel,38,42,40,39,43
Caspian Tern,38,39,42,30,40
American Herring Gull,39,44,39,47,44
Leach's Storm-Petrel,40,23,32,30,14
Black-vented Shearwater,42,37,39,39,25
Tufted Puffin,44,45,46,42,46
Common Murre,46,46,47,44,47
Cook's Petrel,46,30,39,36,17
Western Gull,46,50,45,50,50
Clark's Grebe,48,47,49,43,48
Western Grebe,48,47,49,43,48
Fork-tailed Storm-Petrel,51,51,53,49,51
Long-tailed Jaeger,51,53,50,55,53
Parasitic Jaeger,51,53,51,56,53
Laysan Albatross,54,49,51,51,36
Pelagic Cormorant,54,55,55,53,55
Double-crested Cormorant,55,55,55,54,55
Murphy's Petrel,55,53,55,52,53
Brandt's Cormorant,57,57,57,57,57
