"common_name","exp_ci","CV","DV","rl_category","ess_ci","pri_rank","rank_range"
"Pink-footed Shearwater","0.811 (0.600, 1.082)",0.001,0.204,"VU","1.672 (0.632, 2.992)",1,"1 (1-4)"
"Cassin's Auklet","0.545 (0.257, 0.772)",0.001,0.518,"NT","1.106 (0.277, 2.605)",2,"2 (1-12)"
"Red Phalarope","0.275 (0.159, 0.500)",0.159,0.195,"LC","0.781 (0.430, 1.906)",3,"3 (1-8)"
"Red-necked Phalarope","0.275 (0.159, 0.500)",0.153,0.195,"LC","0.719 (0.396, 1.757)",4,"4 (1-9)"
"South Polar Skua","0.785 (0.397, 1.239)",0.012,0.038,"LC","0.543 (0.091, 1.038)",5,"5 (2-36)"
"Buller's Shearwater","0.511 (0.313, 0.707)",0,0.181,"VU","0.444 (0.168, 0.935)",6,"6 (3-19)"
"Ashy Storm-Petrel","0.287 (0.236, 0.351)",0.006,0.369,"EN","0.426 (0.338, 0.557)",7,"7 (5-11)"
"Guadalupe Murrelet","0.177 (0.132, 0.233)",0.001,0.537,"EN","0.416 (0.341, 0.528)",8,"8 (5-11)"
"Pomarine Jaeger","0.699 (0.472, 1.039)",0.014,0.02,"LC","0.379 (0.122, 1.000)",9,"9 (2-27)"
"Craveri's Murrelet","0.177 (0.132, 0.233)",0.001,0.589,"VU","0.348 (0.286, 0.442)",10,"10 (7-13)"
"Bonaparte's Gull","0.486 (0.202, 1.480)",0.013,0.2,"LC","0.346 (0.066, 1.771)",11,"11 (1-41)"
"Rhinoceros Auklet","0.423 (0.265, 0.601)",0,0.408,"LC","0.301 (0.141, 0.608)",12,"12 (4-21)"
"Scripps's Murrelet","0.177 (0.132, 0.233)",0.001,0.537,"VU","0.294 (0.241, 0.374)",13,"13 (9-16)"
"Northern Fulmar","0.584 (0.322, 0.798)",0.001,0.137,"LC","0.268 (0.076, 0.605)",14,"14 (5-35)"
"Black-footed Albatross","0.457 (0.227, 0.791)",0.01,0.131,"NT","0.261 (0.080, 0.936)",15,"15 (4-34)"
"Marbled Murrelet","0.050 (0.035, 0.065)",0,0.555,"EN","0.252 (0.236, 0.269)",16,"16 (11-17)"
"Sabine's Gull","0.483 (0.233, 0.781)",0.013,0.155,"LC","0.247 (0.066, 0.713)",17,"17 (3-40)"
"Short-tailed Albatross","0.288 (0.016, 0.650)",0.011,0.162,"VU","0.240 (0.050, 0.791)",18,"18 (4-45)"
"Black Scoter","0.024 (0.011, 0.045)",0,0.78,"NT","0.231 (0.218, 0.253)",19,"19 (13-19)"
