common_name,exp_ci,CV,DV,rl_category,ess_ci,pri_rank
Pink-footed Shearwater,"0.829 (0.801, 0.859)",0.001,0.204,VU,"2.590 (2.252, 2.992)",1
Cassin's Auklet,"0.631 (0.607, 0.654)",0.001,0.518,NT,"1.901 (1.685, 2.123)",2
South Polar Skua,"0.788 (0.745, 0.832)",0.012,0.038,LC,"0.736 (0.594, 0.910)",3
Buller's Shearwater,"0.563 (0.544, 0.581)",0,0.181,VU,"0.646 (0.589, 0.708)",4
Red Phalarope,"0.224 (0.214, 0.241)",0.159,0.195,LC,"0.609 (0.580, 0.663)",5
Red-necked Phalarope,"0.224 (0.214, 0.241)",0.153,0.195,LC,"0.561 (0.535, 0.611)",6
Northern Fulmar,"0.666 (0.643, 0.689)",0.001,0.137,LC,"0.468 (0.417, 0.524)",7
Sabine's Gull,"0.617 (0.592, 0.643)",0.013,0.155,LC,"0.466 (0.412, 0.530)",8
Ashy Storm-Petrel,"0.285 (0.279, 0.291)",0.006,0.369,EN,"0.462 (0.449, 0.477)",9
Pomarine Jaeger,"0.699 (0.677, 0.727)",0.014,0.02,LC,"0.457 (0.409, 0.524)",10
Guadalupe Murrelet,"0.186 (0.181, 0.191)",0.001,0.537,EN,"0.449 (0.438, 0.461)",11
Rhinoceros Auklet,"0.465 (0.450, 0.481)",0,0.408,LC,"0.412 (0.383, 0.445)",12
Craveri's Murrelet,"0.186 (0.181, 0.191)",0.001,0.589,VU,"0.376 (0.367, 0.386)",13
Short-tailed Albatross,"0.359 (0.022, 0.556)",0.011,0.162,VU,"0.330 (0.049, 0.678)",14
Scripps's Murrelet,"0.186 (0.181, 0.191)",0.001,0.537,VU,"0.318 (0.310, 0.326)",15
Sooty Shearwater,"0.459 (0.445, 0.476)",0,0.209,NT,"0.300 (0.279, 0.326)",16
Hawaiian Petrel,"0.162 (0.014, 0.634)",0.001,0.26,EN,"0.293 (0.079, 1.681)",17
Townsend's Storm-Petrel,"0.183 (0.099, 0.354)",0.005,0.371,EN,"0.285 (0.184, 0.643)",18
Black-footed Albatross,"0.458 (0.439, 0.480)",0.01,0.131,NT,"0.269 (0.244, 0.298)",19
Marbled Murrelet,"0.060 (0.057, 0.063)",0,0.555,EN,"0.256 (0.252, 0.260)",20
Bonaparte's Gull,"0.456 (0.398, 0.591)",0.013,0.2,LC,"0.250 (0.183, 0.474)",21
Black Scoter,"0.028 (0.026, 0.029)",0,0.78,NT,"0.224 (0.223, 0.226)",22
California Gull,"0.337 (0.313, 0.353)",0.05,0.129,LC,"0.182 (0.162, 0.197)",23
Pigeon Guillemot,"0.170 (0.166, 0.173)",0,0.583,LC,"0.169 (0.166, 0.172)",24
Common Loon,"0.217 (0.197, 0.230)",0.001,0.476,LC,"0.153 (0.138, 0.163)",25
Yellow-billed Loon,"0.143 (0.137, 0.149)",0.002,0.464,NT,"0.147 (0.143, 0.152)",26
Black-legged Kittiwake,"0.228 (0.217, 0.243)",0.028,0.093,VU,"0.139 (0.132, 0.150)",27
White-winged Scoter,"0.028 (0.026, 0.029)",0,0.736,LC,"0.138 (0.137, 0.139)",28
Surf Scoter,"0.028 (0.026, 0.029)",0,0.736,LC,"0.138 (0.137, 0.138)",29
Pacific Loon,"0.143 (0.137, 0.149)",0.002,0.532,LC,"0.130 (0.126, 0.134)",30
Red-throated Loon,"0.107 (0.104, 0.111)",0.002,0.57,LC,"0.123 (0.120, 0.125)",31
Brown Pelican,"0.091 (0.089, 0.093)",0.011,0.553,LC,"0.122 (0.120, 0.123)",32
Iceland Gull,"0.295 (0.282, 0.310)",0.05,0.055,LC,"0.117 (0.109, 0.126)",33
Elegant Tern,"0.144 (0.141, 0.147)",0.02,0.308,NT,"0.115 (0.113, 0.116)",34
Glaucous-winged Gull,"0.183 (0.179, 0.187)",0.066,0.127,LC,"0.106 (0.104, 0.108)",35
American Herring Gull,"0.295 (0.282, 0.310)",0.037,0.055,LC,"0.097 (0.091, 0.104)",36
Arctic Tern,"0.229 (0.220, 0.238)",0.003,0.288,LC,"0.091 (0.087, 0.095)",37
Caspian Tern,"0.100 (0.083, 0.109)",0.015,0.392,LC,"0.080 (0.074, 0.084)",38
Heermann's Gull,"0.082 (0.079, 0.084)",0.05,0.144,NT,"0.077 (0.076, 0.078)",39
Ancient Murrelet,"0.057 (0.054, 0.060)",0.001,0.494,LC,"0.074 (0.073, 0.075)",40
Black Storm-Petrel,"0.183 (0.177, 0.190)",0.006,0.279,LC,"0.074 (0.072, 0.076)",41
Leach's Storm-Petrel,"0.060 (0.056, 0.066)",0.008,0.228,VU,"0.070 (0.069, 0.072)",42
Black-vented Shearwater,"0.119 (0.113, 0.124)",0,0.228,NT,"0.060 (0.058, 0.061)",43
Long-tailed Jaeger,"0.262 (0.252, 0.274)",0.015,0.037,LC,"0.057 (0.055, 0.061)",44
Tufted Puffin,"0.112 (0.108, 0.116)",0,0.331,LC,"0.056 (0.055, 0.058)",45
Parasitic Jaeger,"0.262 (0.252, 0.274)",0.014,0.037,LC,"0.056 (0.053, 0.059)",46
Fork-tailed Storm-Petrel,"0.151 (0.142, 0.161)",0.006,0.227,LC,"0.053 (0.051, 0.056)",47
Western Gull,"0.183 (0.179, 0.187)",0.026,0.077,LC,"0.051 (0.050, 0.052)",48
Common Murre,"0.080 (0.075, 0.085)",0,0.326,LC,"0.048 (0.046, 0.049)",49
Cook's Petrel,"0.014 (0.014, 0.015)",0,0.196,VU,"0.046 (0.045, 0.046)",50
Western Grebe,"0.048 (0.044, 0.051)",0.001,0.342,LC,"0.044 (0.043, 0.044)",51
Clark's Grebe,"0.048 (0.044, 0.051)",0.001,0.342,LC,"0.044 (0.043, 0.044)",52
Double-crested Cormorant,"0.110 (0.066, 0.134)",0.002,0.154,LC,"0.032 (0.026, 0.036)",53
Pelagic Cormorant,"0.101 (0.095, 0.105)",0.001,0.159,LC,"0.031 (0.030, 0.032)",54
Laysan Albatross,"0.020 (0.020, 0.021)",0.011,0.085,NT,"0.027 (0.027, 0.027)",55
Murphy's Petrel,"0.036 (0.035, 0.037)",0,0.208,LC,"0.026 (0.026, 0.027)",56
Brandt's Cormorant,"0.070 (0.067, 0.073)",0.001,0.124,LC,"0.024 (0.024, 0.024)",57
Brant,"NA (NA, NA)",0.068,0.521,LC,"NA (NA, NA)",NA
Harlequin Duck,"NA (NA, NA)",0.005,0.698,LC,"NA (NA, NA)",NA
Forster's Tern,"NA (NA, NA)",0.015,0.381,LC,"NA (NA, NA)",NA
Ring-billed Gull,"NA (NA, NA)",0.05,0.134,LC,"NA (NA, NA)",NA
Short-billed Gull,"NA (NA, NA)",0.05,0.183,LC,"NA (NA, NA)",NA
Black Skimmer,"NA (NA, NA)",0.015,0.589,LC,"NA (NA, NA)",NA
Least Tern,"NA (NA, NA)",0.012,0.381,LC,"NA (NA, NA)",NA
Red-billed Tropicbird,"NA (NA, NA)",0.171,0.184,LC,"NA (NA, NA)",NA
Eared Grebe,"NA (NA, NA)",0.002,0.338,LC,"NA (NA, NA)",NA
Red-necked Grebe,"NA (NA, NA)",0.002,0.338,LC,"NA (NA, NA)",NA
Mottled Petrel,"NA (NA, NA)",0,0.299,NT,"NA (NA, NA)",NA
Masked Booby,"NA (NA, NA)",0.005,0.75,LC,"NA (NA, NA)",NA
Nazca Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA
Blue-footed Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA
Coco's Booby,"NA (NA, NA)",0.006,0.75,LC,"NA (NA, NA)",NA
Red-footed Booby,"NA (NA, NA)",0.011,0.678,LC,"NA (NA, NA)",NA
